FirstName,LastName,PersonPhone,PersonStreet,PersonCity,PersonProvince,PersonPostalCode
Jane,Campbell,905-849-8486,386 Iroquois Shore Rd,Oakville,Ontario,L6H1M4
Joe,Andersson,519-253-2228,800 Wyandotte St E,Windsor,Ontario,N9A1Z2
Nick,Miller,306-649-3844,1619 Idylwyld Dr N,Saskatoon,Saskatchewan,S7H0T8
Vinny,Jensen,905-228-9885,1561 Niagara Stone Road,Niagara On The Lake,Ontario,L0S1J0
Lance,Thompson,416-360-6776,65 Queen St W,Toronto,Ontario,M5H2M5
Alexia,Peeters,905-682-4129,212 Welland Ave,St Catherines,Ontario,L2R2P2
Dawn,Gauthier,306-525-1339,2121 Saskatchewan Drive,Regina,Saskatchewan,S4P3Y2
Nora,Morin,905-358-6582,5687 Stanley Ave,Niagara Falls,Ontario,L2G3X6
Allen,Murphy,418-624-7439,"750, Rue Bouvier",Quebec,Quebec,G2J1A3
Mai,Young,709-753-6566,253 Duckworth Street,St. John's,Newfoundland,A1C1G8
Charlie,Schmit,778-940-9383,261 Bernard St,Kelowna,British Columbia,V1Y6N2
Marge,Moore,705-728-8433,354 Bayfield Street,Barrie,Ontario,L4M3C4
Greg,Bouchard,819-791-3019,3825 Rue College,Sherbrooke,Quebec,J1M0B8
Bill,Rodriguez,519-837-6440,115 Delhi Street,Guelph,Ontario,N1E4J4
James,Scott,604-855-3528,2135 Abbotsford Way,Abbotsford,British Columbia,V2S6Y5
Lidia,Stewart,905-842-4566,240 Leighland Ave,Oakville,Ontario,L6H3H6
Debbie,Chan,613-544-0563,312 Princess Street,Kingston,Ontario,K7L1B6
Maggie,Garcia,613-271-0721,501 Terry Fox Drive,Kanata,Ontario,K2T1E8
Emma,Pelletier,819-376-6617,"519, Rue Vachon",Trois-Rivieres,Quebec,G8T0C6
William,Reid,604-632-4626,650 Georgia Street W,Vancouver,British Columbia,V6B4N7
Bob,Lavoie,506-857-5549,135 Mcbeath Ave,Moncton,New Brunswick,E1C6Z8
Tina,Frey,418-973-3793,"1997, Boul Talbot",Chicoutimi,Quebec,G7H8C4
Amy,Ross,905-636-9194,6941 Derry Rd,Milton,Ontario,L9T7H5
Robert,Cote,416-203-3931,90 Adelaide St W,Toronto,Ontario,M5H3V9
Maria,Quispe,403-341-3561,6620 Orr Drive,Red Deer,Alberta,T4P3V8
Betty,Leblanc,519-751-1432,164 Colborne Street West,Brantford,Ontario,N3T1L2
Vicky,Fortin,807-622-5166,May Street N & Cumming Street,Thunder Bay,Ontario,P7C3S7
Carl,Jones,905-540-1533,35 King Street East,Hamilton,Ontario,L8N4A9
Minnie,Gruber,905-529-2257,239 King St W,Hamilton,Ontario,L8P1A7
Eve,Levesque,604-412-6368,15521 Russell Ave,White Rock,British Columbia,V4B2R4
Jennifer,Landry,514-395-1207,"605, Boul Rene Levesque",Montreal,Quebec,H3B1P5
John,Nowak,514-904-1449,"1257, Rue Peel",Montreal,Quebec,H3B5L4
Alan,Clark,250-740-1009,15 Wallace Street,Nanaimo,British Columbia,V9R5B2
Christine,Li,705-673-6799,196 Cedar St,Sudbury,Ontario,P3E1B4
Kelly,Murray,403-320-9961,442 Scenic Dr,Lethbridge,Alberta,T1J4S3
Heather,Nagy,450-358-6581,"15, Jacques-Cartier Nord",St-Jean-Sur-Richelieu,Quebec,J3B8R8
Rachel,Poirier,902-492-0882,5511 Spring Garden Road,Halifax,Nova Scotia,B3J1G9
Zach,Bergeron,705-742-7644,898 Monaghan Rd,Peterborough,Ontario,K9J5K4
Samantha,Walker,250-571-1333,450 Lansdowne Street,Kamloops,British Columbia,V2C1Y3
Kumar,King,519-741-0424,593 Victoria Street N,Kitchener,Ontario,N2H5E9
Richard,Hoxha,450-438-9977,"314, Rue Montigny",Saint-Jerome,Quebec,J7Z5R3
Kathy,Prince,604-792-3423,45837 Yale Road,Chilliwack,British Columbia,V2P2N6
Ruth,Ginsbrooke,519-332-6741,775 Exmouth Street,Sarnia,Ontario,N7T5P7
Joseph,Wright,250-361-4616,1410 Blanshard Street,Victoria,British Columbia,V8W2J2
Nicole,Davis,450-692-1818,"262, Boul. St-Jean-Baptiste",Chateauguay,Quebec,J6K3C2
Shirley,Simard,819-474-3646,"865, Boul. Foucault",St-Charles-De-Drummond,Quebec,J2C1A8
Sharon,Graham,519-744-4427,354 Highland Road West,Kitchener,Ontario,N2M3C7
Thomas,Fraser,613-771-0744,161 Bridge Street,Belleville,Ontario,K8P1K2
Christopher,Brown,519-258-5556,80 Park Street East,Windsor,Ontario,N9A3A7
Michelle,Gonzalez,780-743-1240,9701 Hardin Street,Fort McMurray,Alberta,T9H1L2
Ashley,Fournier,416-438-5500,1150 Markham Rd,Scarborough,Ontario,M1H2Y6
Danny,MacDonald,705-949-2421,389 Great Northern Road,Sault Ste Marie,Ontario,P6B4Z8
Lisa,Black,905-721-1320,1601 Stellar Drive,Whitby,Ontario,L1N9M1
Matthew,Hall,250-561-2502,2388 Ferry Avenue,Prince George,British Columbia,V2N0B1
Sandra,Persaud,403-548-0004,3292 Dunmore Road South East,Medicine Hat,Alberta,T1B1R4
Frank,Baker,416-252-1933,1000 The Queensway,Etobicoke,Ontario,M8Z1P7
Sue,Lee,905-735-7091,90 Lincoln Ave,Welland,Ontario,L3C5J7
Anthony,Tremblay,905-714-0422,30 Rice Road,Welland,Ontario,L3C5Y6
Don,Draper,902-423-6694,1781 Upper Water St,Halifax,Nova Scotia,B3J3R6
Nancy,Greene,780-814-9181,11910 99 Avenue,Grande Prairie,Alberta,T8W0C7
Barbara,Lin,587-775-1733,900 Market Street SE,Airdrie,Alberta,T4A0K9
Mark,Wilson,403-265-9045,401 9th Ave Sw,Calgary,Alberta,T2P3C5
Jessie,Hill,450-372-8118,"1020, Rue Principale",Granby,Quebec,J2J2N7
Paul,Yilmaz,506-462-9958,534 Union Street,Fredericton,New Brunswick,E3A3N2
Elizabeth,Da Silva,506-634-1389,199 Hillyard St,Saint John,New Brunswick,E2K4V2
Mary,White,450-446-7779,"10, Rue Brunet",Mont-Saint-Hilaire,Quebec,J3H0M7
Stephan,Cook,519-679-0416,380 Wellington Street,London,Ontario,N6A5B5
Emily,Quispe,705-495-6739,1500 Fisher Ave,North Bay,Ontario,P1B2H3
Sara,Robarts,450-253-4394,"3520, Boul. Laframboise",St-Hyacinthe,Quebec,J2R1J9
Donna,Mamani,204-578-4084,150 Mctavish Ave East,Brandon,Manitoba,R7A2B3
Andy,Ouellet,604-605-5490,463 Robson Street,Vancouver,British Columbia,V6B6L9
Amanda,Gagnon,250-260-6583,2501 58 Avenue,Vernon,British Columbia,V1T9T5
Stephanie,Kazlauskas,613-938-9466,851 Pitt Street,Cornwall,Ontario,K6J3S4
Kenneth,Devi,450-755-3218,"101, Joseph Arthur Street",Joliette,Quebec,J6E0T8
Pam,Beridze,250-871-5039,394 Lerwick Rd,Courtenay,British Columbia,V9N9G4
Joshua,Wang,902-892-3222,20 Mount Edward Road,Charlottetown,Prince Edward Island,C1A5N4
Brenda,Soares,819-604-1316,1465 Jutras Ouest,Victoriaville,Quebec,G6T2A9
Cynthia,Wong,519-352-7771,368 St Clair Street,Chatham,Ontario,N7L3K2
George,Hamilton,905-877-6493,11 Mountainview Rd N,Georgetown,Ontario,L7G4T3
