FirstName,LastName,PersonPostalCode,UniversityName,UniversityPostalCode,DistanceKM
Jane,Campbell,L6H1M4,Acadia University,B4P2R6,1232
Jane,Campbell,L6H1M4,Athabasca University,T9S3A3,2709
Jane,Campbell,L6H1M4,Bishop's University,J1M1Z7,658
Jane,Campbell,L6H1M4,Brandon University,R7A6A9,1691
Jane,Campbell,L6H1M4,British Columbia Institute of Technology,V5G3H2,3335
Jane,Campbell,L6H1M4,Brock University,L2S3A1,53
Jane,Campbell,L6H1M4,Canadian Mennonite University,R3P2N2,1506
Jane,Campbell,L6H1M4,Carleton University,K1S5B6,384
Jane,Campbell,L6H1M4,College of New Caledonia,V2N1P8,3317
Jane,Campbell,L6H1M4,College of the Rockies,V1C5L7,2811
Jane,Campbell,L6H1M4,Columbia College,V6A0C1,3341
Jane,Campbell,L6H1M4,Concordia University,H3G1M8,535
Jane,Campbell,L6H1M4,Conestoga College,N2G4M4,63
Jane,Campbell,L6H1M4,Dalhousie University,B3H4R2,1293
Jane,Campbell,L6H1M4,Douglas College,V3M5Z5,3331
Jane,Campbell,L6H1M4,Durham College,L1G0C5,83
Jane,Campbell,L6H1M4,Ecole des Hautes Etudes Commerciales,H3T2A7,532
Jane,Campbell,L6H1M4,"Ecole Polytechnique de Montreal, Universite de Montreal",H3T1J4,532
Jane,Campbell,L6H1M4,Emily Carr Institute of Art + Design,V5T0H2,3342
Jane,Campbell,L6H1M4,King's University College,T6B2H3,2690
Jane,Campbell,L6H1M4,Lakehead University,P7B5E1,961
Jane,Campbell,L6H1M4,McGill University,H3A0G4,536
Jane,Campbell,L6H1M4,McMaster University,L8S4L8,30
Jane,Campbell,L6H1M4,Memorial University of Newfoundland,A1C5S7,2143
Jane,Campbell,L6H1M4,Mount Allison University,E4L1E2,1239
Jane,Campbell,L6H1M4,Mount Royal College,T3E6K6,2703
Jane,Campbell,L6H1M4,Mount Saint Vincent University,B3M2J6,1287
Jane,Campbell,L6H1M4,Nicola Valley Institute of Technology,V1K1R1,3170
Jane,Campbell,L6H1M4,Nipissing University,P1B8L7,317
Jane,Campbell,L6H1M4,Queen's University,K7L3N6,278
Jane,Campbell,L6H1M4,Ryerson University,M5B2K3,33
Jane,Campbell,L6H1M4,Simon Fraser University,V5A1S6,3330
Jane,Campbell,L6H1M4,St. Francis Xavier University,B2G2W5,1420
Jane,Campbell,L6H1M4,Trent University,L1J5Y1,80
Jane,Campbell,L6H1M4,Universite de Montreal,H3T1J4,532
Jane,Campbell,L6H1M4,Universite de Sherbrooke,J1K2R1,652
Jane,Campbell,L6H1M4,Universite Laval,G1V0A6,755
Jane,Campbell,L6H1M4,University of Alberta,T6G2R3,2697
Jane,Campbell,L6H1M4,University of British Columbia,V6T1Z4,3320
Jane,Campbell,L6H1M4,University of Calgary,T2N1N4,2700
Jane,Campbell,L6H1M4,University of Guelph,N1G2W1,42
Jane,Campbell,L6H1M4,University of Lethbridge,T1K3M4,2600
Jane,Campbell,L6H1M4,University of Manitoba,R3T2N2,1501
Jane,Campbell,L6H1M4,University of Moncton,E1A3E9,1217
Jane,Campbell,L6H1M4,University of New Brunswick,E3B5A3,1062
Jane,Campbell,L6H1M4,University of Northern British Columbia,V2N4Z9,3317
Jane,Campbell,L6H1M4,University of Ontario Institute of Technology,L1G0C5,83
Jane,Campbell,L6H1M4,University of Ottawa,K1N6N5,385
Jane,Campbell,L6H1M4,University of Prince Edward Island,C1A4P3,1348
Jane,Campbell,L6H1M4,University of Quebec,G1K9H7,761
Jane,Campbell,L6H1M4,University of Regina,S4S0A2,2029
Jane,Campbell,L6H1M4,University of Saskatchewan,S7N5A2,2210
Jane,Campbell,L6H1M4,University of Toronto,M5S1A1,32
Jane,Campbell,L6H1M4,"University of Toronto, Mississauga",L5L1C6,6
Jane,Campbell,L6H1M4,"University of Toronto, Scarborough",M1C1A4,56
Jane,Campbell,L6H1M4,University of Victoria,V8P5C2,3369
Jane,Campbell,L6H1M4,University of Waterloo,N2L3G1,67
Jane,Campbell,L6H1M4,University of Western Ontario,N6A3K7,137
Jane,Campbell,L6H1M4,University of Windsor,N9B3P4,303
Jane,Campbell,L6H1M4,University of Winnipeg,R3B2E9,1503
Jane,Campbell,L6H1M4,Wilfrid Laurier University,N2L3C5,67
Jane,Campbell,L6H1M4,William and Catherine Booth College,R3B2P2,1503
Jane,Campbell,L6H1M4,York University,M3J1P3,36
Jane,Campbell,L6H1M4,Yukon College,Y1A5K4,4078
Joe,Andersson,N9A1Z2,Acadia University,B4P2R6,1532
Joe,Andersson,N9A1Z2,Athabasca University,T9S3A3,2599
Joe,Andersson,N9A1Z2,Bishop's University,J1M1Z7,963
Joe,Andersson,N9A1Z2,Brandon University,R7A6A9,1552
Joe,Andersson,N9A1Z2,British Columbia Institute of Technology,V5G3H2,3160
Joe,Andersson,N9A1Z2,Brock University,L2S3A1,325
Joe,Andersson,N9A1Z2,Canadian Mennonite University,R3P2N2,1383
Joe,Andersson,N9A1Z2,Carleton University,K1S5B6,688
Joe,Andersson,N9A1Z2,College of New Caledonia,V2N1P8,3183
Joe,Andersson,N9A1Z2,College of the Rockies,V1C5L7,2639
Joe,Andersson,N9A1Z2,Columbia College,V6A0C1,3167
Joe,Andersson,N9A1Z2,Concordia University,H3G1M8,841
Joe,Andersson,N9A1Z2,Conestoga College,N2G4M4,249
Joe,Andersson,N9A1Z2,Dalhousie University,B3H4R2,1590
Joe,Andersson,N9A1Z2,Douglas College,V3M5Z5,3156
Joe,Andersson,N9A1Z2,Durham College,L1G0C5,388
Joe,Andersson,N9A1Z2,Ecole des Hautes Etudes Commerciales,H3T2A7,838
Joe,Andersson,N9A1Z2,"Ecole Polytechnique de Montreal, Universite de Montreal",H3T1J4,838
Joe,Andersson,N9A1Z2,Emily Carr Institute of Art + Design,V5T0H2,3167
Joe,Andersson,N9A1Z2,King's University College,T6B2H3,2565
Joe,Andersson,N9A1Z2,Lakehead University,P7B5E1,899
Joe,Andersson,N9A1Z2,McGill University,H3A0G4,842
Joe,Andersson,N9A1Z2,McMaster University,L8S4L8,280
Joe,Andersson,N9A1Z2,Memorial University of Newfoundland,A1C5S7,2447
Joe,Andersson,N9A1Z2,Mount Allison University,E4L1E2,1542
Joe,Andersson,N9A1Z2,Mount Royal College,T3E6K6,2548
Joe,Andersson,N9A1Z2,Mount Saint Vincent University,B3M2J6,1584
Joe,Andersson,N9A1Z2,Nicola Valley Institute of Technology,V1K1R1,3003
Joe,Andersson,N9A1Z2,Nipissing University,P1B8L7,535
Joe,Andersson,N9A1Z2,Queen's University,K7L3N6,583
Joe,Andersson,N9A1Z2,Ryerson University,M5B2K3,338
Joe,Andersson,N9A1Z2,Simon Fraser University,V5A1S6,3156
Joe,Andersson,N9A1Z2,St. Francis Xavier University,B2G2W5,1722
Joe,Andersson,N9A1Z2,Trent University,L1J5Y1,386
Joe,Andersson,N9A1Z2,Universite de Montreal,H3T1J4,838
Joe,Andersson,N9A1Z2,Universite de Sherbrooke,J1K2R1,957
Joe,Andersson,N9A1Z2,Universite Laval,G1V0A6,1060
Joe,Andersson,N9A1Z2,University of Alberta,T6G2R3,2572
Joe,Andersson,N9A1Z2,University of British Columbia,V6T1Z4,3147
Joe,Andersson,N9A1Z2,University of Calgary,T2N1N4,2546
Joe,Andersson,N9A1Z2,University of Guelph,N1G2W1,271
Joe,Andersson,N9A1Z2,University of Lethbridge,T1K3M4,2431
Joe,Andersson,N9A1Z2,University of Manitoba,R3T2N2,1377
Joe,Andersson,N9A1Z2,University of Moncton,E1A3E9,1521
Joe,Andersson,N9A1Z2,University of New Brunswick,E3B5A3,1365
Joe,Andersson,N9A1Z2,University of Northern British Columbia,V2N4Z9,3183
Joe,Andersson,N9A1Z2,University of Ontario Institute of Technology,L1G0C5,388
Joe,Andersson,N9A1Z2,University of Ottawa,K1N6N5,690
Joe,Andersson,N9A1Z2,University of Prince Edward Island,C1A4P3,1652
Joe,Andersson,N9A1Z2,University of Quebec,G1K9H7,1066
Joe,Andersson,N9A1Z2,University of Regina,S4S0A2,1883
Joe,Andersson,N9A1Z2,University of Saskatchewan,S7N5A2,2083
Joe,Andersson,N9A1Z2,University of Toronto,M5S1A1,337
Joe,Andersson,N9A1Z2,"University of Toronto, Mississauga",L5L1C6,310
Joe,Andersson,N9A1Z2,"University of Toronto, Scarborough",M1C1A4,361
Joe,Andersson,N9A1Z2,University of Victoria,V8P5C2,3188
Joe,Andersson,N9A1Z2,University of Waterloo,N2L3G1,247
Joe,Andersson,N9A1Z2,University of Western Ontario,N6A3K7,170
Joe,Andersson,N9A1Z2,University of Windsor,N9B3P4,11
Joe,Andersson,N9A1Z2,University of Winnipeg,R3B2E9,1381
Joe,Andersson,N9A1Z2,Wilfrid Laurier University,N2L3C5,247
Joe,Andersson,N9A1Z2,William and Catherine Booth College,R3B2P2,1381
Joe,Andersson,N9A1Z2,York University,M3J1P3,336
Joe,Andersson,N9A1Z2,Yukon College,Y1A5K4,4005
Nick,Miller,S7H0T8,Acadia University,B4P2R6,3157
Nick,Miller,S7H0T8,Athabasca University,T9S3A3,527
Nick,Miller,S7H0T8,Bishop's University,J1M1Z7,2631
Nick,Miller,S7H0T8,Brandon University,R7A6A9,533
Nick,Miller,S7H0T8,British Columbia Institute of Technology,V5G3H2,1193
Nick,Miller,S7H0T8,Brock University,L2S3A1,2262
Nick,Miller,S7H0T8,Canadian Mennonite University,R3P2N2,705
Nick,Miller,S7H0T8,Carleton University,K1S5B6,2367
Nick,Miller,S7H0T8,College of New Caledonia,V2N1P8,1106
Nick,Miller,S7H0T8,College of the Rockies,V1C5L7,704
Nick,Miller,S7H0T8,Columbia College,V6A0C1,1198
Nick,Miller,S7H0T8,Concordia University,H3G1M8,2505
Nick,Miller,S7H0T8,Conestoga College,N2G4M4,2162
Nick,Miller,S7H0T8,Dalhousie University,B3H4R2,3235
Nick,Miller,S7H0T8,Douglas College,V3M5Z5,1192
Nick,Miller,S7H0T8,Durham College,L1G0C5,2239
Nick,Miller,S7H0T8,Ecole des Hautes Etudes Commerciales,H3T2A7,2502
Nick,Miller,S7H0T8,"Ecole Polytechnique de Montreal, Universite de Montreal",H3T1J4,2502
Nick,Miller,S7H0T8,Emily Carr Institute of Art + Design,V5T0H2,1199
Nick,Miller,S7H0T8,King's University College,T6B2H3,481
Nick,Miller,S7H0T8,Lakehead University,P7B5E1,1264
Nick,Miller,S7H0T8,McGill University,H3A0G4,2505
Nick,Miller,S7H0T8,McMaster University,L8S4L8,2212
Nick,Miller,S7H0T8,Memorial University of Newfoundland,A1C5S7,3815
Nick,Miller,S7H0T8,Mount Allison University,E4L1E2,3110
Nick,Miller,S7H0T8,Mount Royal College,T3E6K6,535
Nick,Miller,S7H0T8,Mount Saint Vincent University,B3M2J6,3227
Nick,Miller,S7H0T8,Nicola Valley Institute of Technology,V1K1R1,1011
Nick,Miller,S7H0T8,Nipissing University,P1B8L7,2053
Nick,Miller,S7H0T8,Queen's University,K7L3N6,2380
Nick,Miller,S7H0T8,Ryerson University,M5B2K3,2222
Nick,Miller,S7H0T8,Simon Fraser University,V5A1S6,1189
Nick,Miller,S7H0T8,St. Francis Xavier University,B2G2W5,3289
Nick,Miller,S7H0T8,Trent University,L1J5Y1,2241
Nick,Miller,S7H0T8,Universite de Montreal,H3T1J4,2502
Nick,Miller,S7H0T8,Universite de Sherbrooke,J1K2R1,2624
Nick,Miller,S7H0T8,Universite Laval,G1V0A6,2595
Nick,Miller,S7H0T8,University of Alberta,T6G2R3,489
Nick,Miller,S7H0T8,University of British Columbia,V6T1Z4,1173
Nick,Miller,S7H0T8,University of Calgary,T2N1N4,530
Nick,Miller,S7H0T8,University of Guelph,N1G2W1,2175
Nick,Miller,S7H0T8,University of Lethbridge,T1K3M4,514
Nick,Miller,S7H0T8,University of Manitoba,R3T2N2,711
Nick,Miller,S7H0T8,University of Moncton,E1A3E9,3079
Nick,Miller,S7H0T8,University of New Brunswick,E3B5A3,2960
Nick,Miller,S7H0T8,University of Northern British Columbia,V2N4Z9,1106
Nick,Miller,S7H0T8,University of Ontario Institute of Technology,L1G0C5,2239
Nick,Miller,S7H0T8,University of Ottawa,K1N6N5,2366
Nick,Miller,S7H0T8,University of Prince Edward Island,C1A4P3,3185
Nick,Miller,S7H0T8,University of Quebec,G1K9H7,2599
Nick,Miller,S7H0T8,University of Regina,S4S0A2,236
Nick,Miller,S7H0T8,University of Saskatchewan,S7N5A2,3
Nick,Miller,S7H0T8,University of Toronto,M5S1A1,2220
Nick,Miller,S7H0T8,"University of Toronto, Mississauga",L5L1C6,2209
Nick,Miller,S7H0T8,"University of Toronto, Scarborough",M1C1A4,2229
Nick,Miller,S7H0T8,University of Victoria,V8P5C2,1251
Nick,Miller,S7H0T8,University of Waterloo,N2L3G1,2157
Nick,Miller,S7H0T8,University of Western Ontario,N6A3K7,2142
Nick,Miller,S7H0T8,University of Windsor,N9B3P4,2075
Nick,Miller,S7H0T8,University of Winnipeg,R3B2E9,708
Nick,Miller,S7H0T8,Wilfrid Laurier University,N2L3C5,2157
Nick,Miller,S7H0T8,William and Catherine Booth College,R3B2P2,708
Nick,Miller,S7H0T8,York University,M3J1P3,2207
Nick,Miller,S7H0T8,Yukon College,Y1A5K4,1970
Vinny,Jensen,L0S1J0,Acadia University,B4P2R6,1200
Vinny,Jensen,L0S1J0,Athabasca University,T9S3A3,2790
Vinny,Jensen,L0S1J0,Bishop's University,J1M1Z7,639
Vinny,Jensen,L0S1J0,Brandon University,R7A6A9,1769
Vinny,Jensen,L0S1J0,British Columbia Institute of Technology,V5G3H2,3409
Vinny,Jensen,L0S1J0,Brock University,L2S3A1,30
Vinny,Jensen,L0S1J0,Canadian Mennonite University,R3P2N2,1585
Vinny,Jensen,L0S1J0,Carleton University,K1S5B6,387
Vinny,Jensen,L0S1J0,College of New Caledonia,V2N1P8,3395
Vinny,Jensen,L0S1J0,College of the Rockies,V1C5L7,2886
Vinny,Jensen,L0S1J0,Columbia College,V6A0C1,3416
Vinny,Jensen,L0S1J0,Concordia University,H3G1M8,525
Vinny,Jensen,L0S1J0,Conestoga College,N2G4M4,129
Vinny,Jensen,L0S1J0,Dalhousie University,B3H4R2,1257
Vinny,Jensen,L0S1J0,Douglas College,V3M5Z5,3406
Vinny,Jensen,L0S1J0,Durham College,L1G0C5,114
Vinny,Jensen,L0S1J0,Ecole des Hautes Etudes Commerciales,H3T2A7,522
Vinny,Jensen,L0S1J0,"Ecole Polytechnique de Montreal, Universite de Montreal",H3T1J4,522
Vinny,Jensen,L0S1J0,Emily Carr Institute of Art + Design,V5T0H2,3416
Vinny,Jensen,L0S1J0,King's University College,T6B2H3,2769
Vinny,Jensen,L0S1J0,Lakehead University,P7B5E1,1042
Vinny,Jensen,L0S1J0,McGill University,H3A0G4,525
Vinny,Jensen,L0S1J0,McMaster University,L8S4L8,78
Vinny,Jensen,L0S1J0,Memorial University of Newfoundland,A1C5S7,2120
Vinny,Jensen,L0S1J0,Mount Allison University,E4L1E2,1213
Vinny,Jensen,L0S1J0,Mount Royal College,T3E6K6,2779
Vinny,Jensen,L0S1J0,Mount Saint Vincent University,B3M2J6,1252
Vinny,Jensen,L0S1J0,Nicola Valley Institute of Technology,V1K1R1,3245
Vinny,Jensen,L0S1J0,Nipissing University,P1B8L7,383
Vinny,Jensen,L0S1J0,Queen's University,K7L3N6,264
Vinny,Jensen,L0S1J0,Ryerson University,M5B2K3,87
Vinny,Jensen,L0S1J0,Simon Fraser University,V5A1S6,3405
Vinny,Jensen,L0S1J0,St. Francis Xavier University,B2G2W5,1391
Vinny,Jensen,L0S1J0,Trent University,L1J5Y1,110
Vinny,Jensen,L0S1J0,Universite de Montreal,H3T1J4,522
Vinny,Jensen,L0S1J0,Universite de Sherbrooke,J1K2R1,633
Vinny,Jensen,L0S1J0,Universite Laval,G1V0A6,750
Vinny,Jensen,L0S1J0,University of Alberta,T6G2R3,2777
Vinny,Jensen,L0S1J0,University of British Columbia,V6T1Z4,3395
Vinny,Jensen,L0S1J0,University of Calgary,T2N1N4,2777
Vinny,Jensen,L0S1J0,University of Guelph,N1G2W1,115
Vinny,Jensen,L0S1J0,University of Lethbridge,T1K3M4,2675
Vinny,Jensen,L0S1J0,University of Manitoba,R3T2N2,1579
Vinny,Jensen,L0S1J0,University of Moncton,E1A3E9,1192
Vinny,Jensen,L0S1J0,University of New Brunswick,E3B5A3,1037
Vinny,Jensen,L0S1J0,University of Northern British Columbia,V2N4Z9,3395
Vinny,Jensen,L0S1J0,University of Ontario Institute of Technology,L1G0C5,114
Vinny,Jensen,L0S1J0,University of Ottawa,K1N6N5,390
Vinny,Jensen,L0S1J0,University of Prince Edward Island,C1A4P3,1323
Vinny,Jensen,L0S1J0,University of Quebec,G1K9H7,756
Vinny,Jensen,L0S1J0,University of Regina,S4S0A2,2106
Vinny,Jensen,L0S1J0,University of Saskatchewan,S7N5A2,2289
Vinny,Jensen,L0S1J0,University of Toronto,M5S1A1,88
Vinny,Jensen,L0S1J0,"University of Toronto, Mississauga",L5L1C6,86
Vinny,Jensen,L0S1J0,"University of Toronto, Scarborough",M1C1A4,98
Vinny,Jensen,L0S1J0,University of Victoria,V8P5C2,3443
Vinny,Jensen,L0S1J0,University of Waterloo,N2L3G1,134
Vinny,Jensen,L0S1J0,University of Western Ontario,N6A3K7,177
Vinny,Jensen,L0S1J0,University of Windsor,N9B3P4,332
Vinny,Jensen,L0S1J0,University of Winnipeg,R3B2E9,1582
Vinny,Jensen,L0S1J0,Wilfrid Laurier University,N2L3C5,134
Vinny,Jensen,L0S1J0,William and Catherine Booth College,R3B2P2,1582
Vinny,Jensen,L0S1J0,York University,M3J1P3,101
Vinny,Jensen,L0S1J0,Yukon College,Y1A5K4,4160
Lance,Thompson,M5H2M5,Acadia University,B4P2R6,1203
Lance,Thompson,M5H2M5,Athabasca University,T9S3A3,2718
Lance,Thompson,M5H2M5,Bishop's University,J1M1Z7,627
Lance,Thompson,M5H2M5,Brandon University,R7A6A9,1704
Lance,Thompson,M5H2M5,British Columbia Institute of Technology,V5G3H2,3350
Lance,Thompson,M5H2M5,Brock University,L2S3A1,57
Lance,Thompson,M5H2M5,Canadian Mennonite University,R3P2N2,1518
Lance,Thompson,M5H2M5,Carleton University,K1S5B6,352
Lance,Thompson,M5H2M5,College of New Caledonia,V2N1P8,3328
Lance,Thompson,M5H2M5,College of the Rockies,V1C5L7,2827
Lance,Thompson,M5H2M5,Columbia College,V6A0C1,3357
Lance,Thompson,M5H2M5,Concordia University,H3G1M8,503
Lance,Thompson,M5H2M5,Conestoga College,N2G4M4,92
Lance,Thompson,M5H2M5,Dalhousie University,B3H4R2,1264
Lance,Thompson,M5H2M5,Douglas College,V3M5Z5,3347
Lance,Thompson,M5H2M5,Durham College,L1G0C5,51
Lance,Thompson,M5H2M5,Ecole des Hautes Etudes Commerciales,H3T2A7,501
Lance,Thompson,M5H2M5,"Ecole Polytechnique de Montreal, Universite de Montreal",H3T1J4,501
Lance,Thompson,M5H2M5,Emily Carr Institute of Art + Design,V5T0H2,3357
Lance,Thompson,M5H2M5,King's University College,T6B2H3,2700
Lance,Thompson,M5H2M5,Lakehead University,P7B5E1,968
Lance,Thompson,M5H2M5,McGill University,H3A0G4,504
Lance,Thompson,M5H2M5,McMaster University,L8S4L8,61
Lance,Thompson,M5H2M5,Memorial University of Newfoundland,A1C5S7,2112
Lance,Thompson,M5H2M5,Mount Allison University,E4L1E2,1208
Lance,Thompson,M5H2M5,Mount Royal College,T3E6K6,2717
Lance,Thompson,M5H2M5,Mount Saint Vincent University,B3M2J6,1258
Lance,Thompson,M5H2M5,Nicola Valley Institute of Technology,V1K1R1,3185
Lance,Thompson,M5H2M5,Nipissing University,P1B8L7,299
Lance,Thompson,M5H2M5,Queen's University,K7L3N6,247
Lance,Thompson,M5H2M5,Ryerson University,M5B2K3,1
Lance,Thompson,M5H2M5,Simon Fraser University,V5A1S6,3346
Lance,Thompson,M5H2M5,St. Francis Xavier University,B2G2W5,1390
Lance,Thompson,M5H2M5,Trent University,L1J5Y1,48
Lance,Thompson,M5H2M5,Universite de Montreal,H3T1J4,501
Lance,Thompson,M5H2M5,Universite de Sherbrooke,J1K2R1,621
Lance,Thompson,M5H2M5,Universite Laval,G1V0A6,723
Lance,Thompson,M5H2M5,University of Alberta,T6G2R3,2708
Lance,Thompson,M5H2M5,University of British Columbia,V6T1Z4,3335
Lance,Thompson,M5H2M5,University of Calgary,T2N1N4,2714
Lance,Thompson,M5H2M5,University of Guelph,N1G2W1,69
Lance,Thompson,M5H2M5,University of Lethbridge,T1K3M4,2615
Lance,Thompson,M5H2M5,University of Manitoba,R3T2N2,1513
Lance,Thompson,M5H2M5,University of Moncton,E1A3E9,1186
Lance,Thompson,M5H2M5,University of New Brunswick,E3B5A3,1031
Lance,Thompson,M5H2M5,University of Northern British Columbia,V2N4Z9,3328
Lance,Thompson,M5H2M5,University of Ontario Institute of Technology,L1G0C5,51
Lance,Thompson,M5H2M5,University of Ottawa,K1N6N5,354
Lance,Thompson,M5H2M5,University of Prince Edward Island,C1A4P3,1318
Lance,Thompson,M5H2M5,University of Quebec,G1K9H7,729
Lance,Thompson,M5H2M5,University of Regina,S4S0A2,2042
Lance,Thompson,M5H2M5,University of Saskatchewan,S7N5A2,2221
Lance,Thompson,M5H2M5,University of Toronto,M5S1A1,2
Lance,Thompson,M5H2M5,"University of Toronto, Mississauga",L5L1C6,28
Lance,Thompson,M5H2M5,"University of Toronto, Scarborough",M1C1A4,24
Lance,Thompson,M5H2M5,University of Victoria,V8P5C2,3386
Lance,Thompson,M5H2M5,University of Waterloo,N2L3G1,96
Lance,Thompson,M5H2M5,University of Western Ontario,N6A3K7,168
Lance,Thompson,M5H2M5,University of Windsor,N9B3P4,334
Lance,Thompson,M5H2M5,University of Winnipeg,R3B2E9,1515
Lance,Thompson,M5H2M5,Wilfrid Laurier University,N2L3C5,96
Lance,Thompson,M5H2M5,William and Catherine Booth College,R3B2P2,1515
Lance,Thompson,M5H2M5,York University,M3J1P3,16
Lance,Thompson,M5H2M5,Yukon College,Y1A5K4,4082
Alexia,Peeters,L2R2P2,Acadia University,B4P2R6,1210
Alexia,Peeters,L2R2P2,Athabasca University,T9S3A3,2760
Alexia,Peeters,L2R2P2,Bishop's University,J1M1Z7,643
Alexia,Peeters,L2R2P2,Brandon University,R7A6A9,1740
Alexia,Peeters,L2R2P2,British Columbia Institute of Technology,V5G3H2,3382
Alexia,Peeters,L2R2P2,Brock University,L2S3A1,3
Alexia,Peeters,L2R2P2,Canadian Mennonite University,R3P2N2,1556
Alexia,Peeters,L2R2P2,Carleton University,K1S5B6,381
Alexia,Peeters,L2R2P2,College of New Caledonia,V2N1P8,3366
Alexia,Peeters,L2R2P2,College of the Rockies,V1C5L7,2858
Alexia,Peeters,L2R2P2,Columbia College,V6A0C1,3389
Alexia,Peeters,L2R2P2,Concordia University,H3G1M8,525
Alexia,Peeters,L2R2P2,Conestoga College,N2G4M4,102
Alexia,Peeters,L2R2P2,Dalhousie University,B3H4R2,1268
Alexia,Peeters,L2R2P2,Douglas College,V3M5Z5,3379
Alexia,Peeters,L2R2P2,Durham College,L1G0C5,93
Alexia,Peeters,L2R2P2,Ecole des Hautes Etudes Commerciales,H3T2A7,522
Alexia,Peeters,L2R2P2,"Ecole Polytechnique de Montreal, Universite de Montreal",H3T1J4,522
Alexia,Peeters,L2R2P2,Emily Carr Institute of Art + Design,V5T0H2,3389
Alexia,Peeters,L2R2P2,King's University College,T6B2H3,2740
Alexia,Peeters,L2R2P2,Lakehead University,P7B5E1,1011
Alexia,Peeters,L2R2P2,McGill University,H3A0G4,525
Alexia,Peeters,L2R2P2,McMaster University,L8S4L8,52
Alexia,Peeters,L2R2P2,Memorial University of Newfoundland,A1C5S7,2126
Alexia,Peeters,L2R2P2,Mount Allison University,E4L1E2,1220
Alexia,Peeters,L2R2P2,Mount Royal College,T3E6K6,2751
Alexia,Peeters,L2R2P2,Mount Saint Vincent University,B3M2J6,1262
